asin,product_type,parent_asin,product_group,manufacturer,brand,model,color,size,is_eligible_for_super_saver_shipping,is_sns,time,price
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1564493280,36.96
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1564534920,38.21
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1564644720,51.99
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1566924240,44.19
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1570146240,51.99
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1572560640,48.09
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1572649080,51.22
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1572738720,47.89
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1572820080,55.21
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1572908400,48.15
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1572994560,46.99
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1573082160,51.99
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1575072120,37.56
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1575844680,51.99
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1582769040,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1582931040,51.46
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583015520,44.97
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583103240,40.12
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583187120,46.21
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583275560,47.42
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583359920,55.71
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583445840,53.6
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583538360,44.22
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583633520,42.23
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583717280,47.59
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583783880,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583789280,47.59
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583796720,41.26
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583879400,42.75
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1583973360,50.14
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584055200,47.28
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584140160,44.97
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584224880,51.13
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584334560,49.7
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584403680,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584409680,54.02
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584450240,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584467280,54.02
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584492600,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584512160,47.81
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584564960,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584579240,45.61
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584660480,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584692160,50.58
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584723120,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584747600,43.55
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1584756480,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1585125120,39.98
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1585266480,41.78
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1585353360,49.8
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1585411440,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1586175240,48.72
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1586187360,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1586224320,48.72
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1586231280,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1586487600,52.08
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1586504160,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1586508720,52.08
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1586523840,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1586620800,52.08
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1586623680,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1586882040,52.08
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1586882160,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1587949920,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1587976320,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1588549200,53.49
