asin,product_type,parent_asin,product_group,manufacturer,brand,model,color,size,is_eligible_for_super_saver_shipping,is_sns
B09JVRDY1B,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,38 - Mauve,Twin,FALSE,FALSE
B09JVGVJX6,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,21 - Royal Blue,Full,FALSE,FALSE
B07PH22TG9,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,Queen4PCSpaBlue,20 - Spa Blue,Queen,FALSE,FALSE
B07PF1BLZH,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,25 - Red,Full,FALSE,FALSE
B0BF96Q63W,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Jade Stone,9 Women/7 Men,FALSE,FALSE
B08CZ1Z73B,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B06X9G19N9,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,CalKing4PCBrown,15 - Brown,California King,FALSE,FALSE
B006TAIAR0,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Evergreen,14 Women/12 Men,TRUE,FALSE
B0B14RH8JL,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0B5QJGK2T,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B08CZ1T8CM,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BNN5LRC4,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BF8K92RP,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Juice,15 Women/13 Men,FALSE,FALSE
B0BF9GPRCB,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Jade Stone,12 Women/10 Men,FALSE,FALSE
B0BF8QCPPJ,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Jade Stone,5 Women/3 Men,FALSE,FALSE
B09773GHSX,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Fuchsia Fun,17 Women/15 Men,FALSE,FALSE
B0714CLZJS,0,B09NZDFPP9,Home,"Plaid Enterprises, Inc.",Apple Barrel,4473E,Teal Treat,2 oz.,FALSE,FALSE
B0014C2QHS,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Chocolate,10 Women/8 Men,FALSE,FALSE
B0002PBS6I,0,B0BSGM6CQ9,Musical Instruments,Ernie Ball Music Man,Ernie Ball,P02220,Power (11-48),Single Pack,TRUE,FALSE
B07BTPRKWD,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Sulphur,16 Women/14 Men,TRUE,FALSE
B0BHRB72HR,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B08X71GLNC,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BHR5TGKD,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0B38QKR43,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B09PF1N46S,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B07TLL2SLW,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0727Q5F94,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DUMBBELL SET,Multicolor,20-Pound Set with Stand,TRUE,FALSE
B09773S5B6,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Fuchsia Fun,12 Women/10 Men,FALSE,FALSE
B01MCVH3YD,0,B005GCCJME,Shoes,crocs,Crocs,10001B,Pepper,19 Women/17 Men,TRUE,FALSE
B07QT9R87V,0,B00U8QEXBS,Home,Amazon Basics,Amazon Basics,SS8-T-CDGN,Celadon Green,Twin,FALSE,FALSE
B086ZL794C,0,B09QF49KR8,Grocery,"Celsius, Inc.",CELSIUS,CELSIUS,Peach Vibe,12 Fl Oz (Pack of 12),FALSE,FALSE
B09F1R7DLJ,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
