domainId,catId,name,parent,highestRank,productCount,contextFreeName,lowestRank
1,8624125011,Teen & Young Adult,8584458011,6973004,31257,15-Minute Teen & Young Adult Short Reads,1104
1,8624123011,Self-Help,8584458011,6973004,16612,15-Minute Self-Help Short Reads,4516
1,8624116011,"Mystery, Thriller & Suspense",8584458011,6951917,8522,"15-Minute Mystery, Thriller & Suspense Short Reads",4346
1,8624124011,Sports & Outdoors,8584458011,6935100,3993,15-Minute Sports & Outdoors Short Reads,19854
1,8624104011,Business & Money,8584458011,6981582,22945,15-Minute Business & Money Short Reads,2820
1,8624119011,Religion & Spirituality,8584458011,6962437,12242,15-Minute Religion & Spirituality Short Reads,7033
1,8624113011,History,8584458011,6894012,7269,15-Minute History Short Reads,2189
1,8624103011,Biographies & Memoirs,8584458011,6972764,9103,15-Minute Biography & Memoir Short Reads,2189
1,8624121011,Science & Math,8584458011,6925861,5885,15-Minute Science & Math Short Reads,11990
1,8624111011,LGBTQ+,8584458011,6946763,2497,15-Minute LGBTQ+ Short Reads,3378
1,8624118011,Politics & Social Sciences,8584458011,6919905,5797,15-Minute Politics & Social Sciences Short Reads,5203
1,8624122011,Science Fiction & Fantasy,8584458011,6956175,13245,15-Minute Science Fiction & Fantasy Short Reads,2745
1,8624126011,Travel,8584458011,6959047,3656,15-Minute Travel Short Reads,15957
1,8624115011,Literature & Fiction,8584458011,6969396,96906,15-Minute Literature & Fiction Short Reads,1104
1,8624107011,Computers & Technology,8584458011,6970843,4621,15-Minute Computers & Technology Short Reads,4345
1,8624120011,Romance,8584458011,6954951,11793,15-Minute Romance Short Reads,3378
1,8624109011,"Crafts, Hobbies & Home",8584458011,6965958,20281,"15-Minute Craft, Hobby & Home Short Reads",1511
1,8584461011,One hour (33-43 pages),8584457011,6908269,595,One-Hour Short Reads,1924
1,8624187011,"Health, Fitness & Dieting",8584461011,6976180,32767,"One-Hour Health, Fitness & Dieting Short Reads",342
1,8624190011,Literature & Fiction,8584461011,6980402,118238,One-Hour Literature & Fiction Short Reads,457
1,8624197011,Science Fiction & Fantasy,8584461011,6954150,17697,One-Hour Science Fiction & Fantasy Short Reads,288
1,8624188011,History,8584461011,6930651,16330,One-Hour History Short Reads,1130
1,8624178011,Biographies & Memoirs,8584461011,6924896,12699,One-Hour Biography & Memoir Short Reads,1130
1,8624195011,Romance,8584461011,6947088,20453,One-Hour Romance Short Reads,36
1,8624200011,Teen & Young Adult,8584461011,6967915,29831,One-Hour Teen & Young Adult Short Reads,421
1,8624194011,Religion & Spirituality,8584461011,6972170,28201,One-Hour Religion & Spirituality Short Reads,1638
1,8624179011,Business & Money,8584461011,6969898,44140,One-Hour Business & Money Short Reads,772
1,8624181011,Comics & Graphic Novels,8584461011,6967915,14503,One-Hour Comic & Graphic Novel Short Reads,678
1,8624192011,Parenting & Relationships,8584461011,6982958,19871,One-Hour Parenting & Relationships Short Reads,1644
1,8624184011,"Crafts, Hobbies & Home",8584461011,6953291,14585,"One-Hour Craft, Hobby & Home Short Reads",836
1,8624186011,LGBTQ+,8584461011,6980402,5262,One-Hour LGBTQ+ Short Reads,1107
1,8624191011,"Mystery, Thriller & Suspense",8584461011,6930447,11504,"One-Hour Mystery, Thriller & Suspense Short Reads",36
1,8624198011,Self-Help,8584461011,6966120,33663,One-Hour Self-Help Short Reads,351
1,8624183011,"Cookbooks, Food & Wine",8584461011,6982338,15492,"One-Hour Cookbook, Food & Wine Short Reads",361
1,8624182011,Computers & Technology,8584461011,6973283,8425,One-Hour Computers & Technology Short Reads,2403
1,8624201011,Travel,8584461011,6926272,7551,One-Hour Travel Short Reads,6712
1,8624185011,Education & Reference,8584461011,6965611,33576,One-Hour Education & Reference Short Reads,238
1,8624177011,Arts & Photography,8584461011,6974634,14316,One-Hour Arts & Photography Short Reads,4077
1,8624196011,Science & Math,8584461011,6952134,9844,One-Hour Science & Math Short Reads,4450
1,8624189011,Humor & Entertainment,8584461011,6963469,6678,One-Hour Humor & Entertainment Short Reads,1175
1,8624193011,Politics & Social Sciences,8584461011,6947776,9554,One-Hour Politics & Social Sciences Short Reads,3666
1,8624199011,Sports & Outdoors,8584461011,6904868,6643,One-Hour Sports & Outdoors Short Reads,7192
1,8584459011,30 minutes (12-21 pages),8584457011,6272795,471,30-Minute Short Reads,3226
1,8624137011,"Health, Fitness & Dieting",8584459011,6963164,38026,"30-Minute Health, Fitness & Dieting Short Reads",212
1,8624134011,"Crafts, Hobbies & Home",8584459011,6961224,26498,"30-Minute Craft, Hobby & Home Short Reads",825
1,8624144011,Religion & Spirituality,8584459011,6962091,18957,30-Minute Religion & Spirituality Short Reads,3125
1,8624150011,Teen & Young Adult,8584459011,6972127,32625,30-Minute Teen & Young Adult Short Reads,1115
1,8624140011,Literature & Fiction,8584459011,6984180,117983,30-Minute Literature & Fiction Short Reads,548
1,8624131011,Comics & Graphic Novels,8584459011,6927059,11423,30-Minute Comic & Graphic Novel Short Reads,3861
1,8624127011,Arts & Photography,8584459011,6976725,18746,30-Minute Arts & Photography Short Reads,1857
1,8624135011,Education & Reference,8584459011,6969489,37202,30-Minute Education & Reference Short Reads,2149
1,8624146011,Science & Math,8584459011,6913146,10688,30-Minute Science & Math Short Reads,4746
1,8624145011,Romance,8584459011,6984155,13424,30-Minute Romance Short Reads,1390
1,8624147011,Science Fiction & Fantasy,8584459011,6967117,18537,30-Minute Science Fiction & Fantasy Short Reads,1756
1,8624129011,Business & Money,8584459011,6980596,37639,30-Minute Business & Money Short Reads,4514
1,8624132011,Computers & Technology,8584459011,6933936,7322,30-Minute Computers & Technology Short Reads,4337
1,8624149011,Sports & Outdoors,8584459011,6954680,6960,30-Minute Sports & Outdoors Short Reads,15239
1,8624141011,"Mystery, Thriller & Suspense",8584459011,6967117,12072,"30-Minute Mystery, Thriller & Suspense Short Reads",1007
1,8624128011,Biographies & Memoirs,8584459011,6966459,14063,30-Minute Biography & Memoir Short Reads,5153
1,8624142011,Parenting & Relationships,8584459011,6978337,20817,30-Minute Parenting & Relationships Short Reads,3082
1,8624138011,History,8584459011,6972954,11153,30-Minute History Short Reads,2027
1,8624133011,"Cookbooks, Food & Wine",8584459011,6952393,10377,"30-Minute Cookbook, Food & Wine Short Reads",1540
1,8624136011,LGBTQ+,8584459011,6957020,4158,30-Minute LGBTQ+ Short Reads,2963
1,8624139011,Humor & Entertainment,8584459011,6984854,6449,30-Minute Humor & Entertainment Short Reads,9434
1,8624151011,Travel,8584459011,6918769,6076,30-Minute Travel Short Reads,7845
1,8624143011,Politics & Social Sciences,8584459011,6948726,8223,30-Minute Politics & Social Sciences Short Reads,2901
1,8624148011,Self-Help,8584459011,6984854,27186,30-Minute Self-Help Short Reads,212
1,8584460011,45 minutes (22-32 pages),8584457011,6888493,705,45-Minute Short Reads,5847
1,8624159011,"Crafts, Hobbies & Home",8584460011,6943020,16872,"45-Minute Craft, Hobby & Home Short Reads",534
1,8624154011,Business & Money,8584460011,6978679,51472,45-Minute Business & Money Short Reads,187
1,8624157011,Computers & Technology,8584460011,6947068,9325,45-Minute Computers & Technology Short Reads,1872
